YEAR,MONTH,CANCEL_COUNT,CANCELATIONS,TRIPS,LATES,ON_TIME_PERCENTAGE,MEAN_DISTANCE_BEFORE_FALUIRE
2017,APRIL,40,525,14974,17188,87.1,87172
2017,AUGUST,70,413,17604,18866,93.3,81472
2017,DECEMBER,61,309,16458,18226,90.3,82929
2017,FEBRUARY,39,169,15596,16765,93.0,84826
2017,JANUARY,56,207,17036,18271,93.2,83609
2017,JULY,47,354,16635,17948,92.7,84069
2017,JUNE,55,139,15854,18186,87.2,84936
2017,MARCH,26,308,17204,18398,93.5,87026
2017,MAY,67,146,16096,18525,86.9,83826
2017,NOVEMBER,68,179,16801,18179,92.4,83720
2017,OCTOBER,34,278,16956,18630,91.0,83800
2017,SEPTEMBER,43,266,16182,17518,92.4,81337
2018,APRIL,50,322,16793,18120,92.7,76108
2018,AUGUST,66,631,17048,18963,89.9,74238
2018,DECEMBER,75,434,14826,16481,90.0,67997
2018,FEBRUARY,57,181,15949,16767,95.1,80309
2018,JANUARY,67,384,16259,18576,87.5,80711
2018,JULY,53,352,16577,18364,90.3,74107
2018,JUNE,63,291,16579,17920,92.5,74776
2018,MARCH,52,963,16182,18357,88.2,77686
2018,MAY,52,306,17288,18844,91.7,76487
2018,NOVEMBER,62,546,13608,16563,82.2,69908
2018,OCTOBER,70,364,15689,17775,88.3,70679
2018,SEPTEMBER,57,370,15221,16696,91.2,72424
2019,APRIL,37,183,15776,16822,93.8,70258
2019,AUGUST,41,251,16336,17747,92.0,75030
2019,DECEMBER,48,315,16040,17568,91.3,83301
2019,FEBRUARY,60,356,13556,15274,88.8,68717
2019,JANUARY,55,212,15085,16918,89.2,69249
2019,JULY,91,450,15537,17801,87.3,72788
2019,JUNE,42,406,15230,16923,90.0,72930
2019,MARCH,35,189,15717,16829,93.4,69344
2019,MAY,36,229,16453,17661,93.2,71342
2019,NOVEMBER,38,244,15118,16949,89.2,81181
2019,OCTOBER,48,215,16605,18227,91.1,79134
2019,SEPTEMBER,43,307,15556,16900,92.0,76712
2020,APRIL,13,390,11701,12226,95.7,91313
2020,AUGUST,74,1217,14592,16297,89.5,90718
2020,DECEMBER,104,543,15538,16865,92.1,84451
2020,FEBRUARY,43,186,15170,16285,93.2,86792
2020,JANUARY,75,243,16426,17675,92.9,84741
2020,JULY,81,700,15714,17378,90.4,93809
2020,JUNE,14,126,11742,12153,96.6,94969
2020,MARCH,45,270,15063,15926,94.6,88881
2020,MAY,18,299,11835,12351,95.8,92406
2020,NOVEMBER,83,431,15138,16357,92.5,85702
2020,OCTOBER,64,196,16743,17504,95.7,87817
2020,SEPTEMBER,65,188,16162,16808,96.2,89016
2021,APRIL,92,156,16186,17076,94.8,81931
2021,AUGUST,99,315,16741,18036,92.8,80333
2021,DECEMBER,99,303,17366,18537,93.7,76713
2021,FEBRUARY,90,328,13088,14261,91.8,84529
2021,JANUARY,121,235,15558,16573,93.9,86531
2021,JULY,109,310,16497,17805,92.7,80232
2021,JUNE,112,177,16457,17557,93.7,78300
2021,MARCH,82,157,16639,17730,93.8,84772
2021,MAY,96,212,15863,16794,94.5,81101
2021,NOVEMBER,105,243,15559,17363,89.6,75824
2021,OCTOBER,106,309,16231,17598,92.2,76783
2021,SEPTEMBER,87,479,14747,16554,89.1,79307
2022,APRIL,73,107,16811,17734,94.8,69751
2022,AUGUST,144,397,17326,18928,91.5,65832
2022,DECEMBER,103,193,16911,18316,92.3,66090
2022,FEBRUARY,105,299,15372,16512,93.1,72516
2022,JANUARY,126,396,16655,17908,93.0,73523
2022,JULY,143,230,16760,18101,92.6,67808
2022,JUNE,106,444,16764,18129,92.5,69949
2022,MARCH,76,278,17066,18334,93.1,71219
2022,MAY,80,253,16865,18178,92.8,68454
2022,NOVEMBER,64,159,16051,17630,91.0,66636
2022,OCTOBER,120,203,16588,18112,91.6,65389
2022,SEPTEMBER,111,234,16504,17881,92.3,66170
2023,APRIL,57,103,16201,17408,93.1,70994
2023,AUGUST,102,299,17252,18983,90.9,73920
2023,DECEMBER,109,370,16238,17921,90.6,69102
2023,FEBRUARY,67,177,15310,16544,92.5,69991
2023,JANUARY,74,104,17158,18053,95.0,67726
2023,JULY,126,588,16164,18171,89.0,71148
2023,JUNE,76,278,16387,18130,90.4,70712
2023,MARCH,89,259,17183,18753,91.6,69800
2023,MAY,72,408,16802,18464,91.0,71685
2023,NOVEMBER,149,259,16196,17696,91.5,70708
2023,OCTOBER,118,298,16754,18583,90.2,73504
2023,SEPTEMBER,113,376,15686,17687,88.7,71966
2024,APRIL,121,430,16501,18202,90.7,59813
2024,AUGUST,143,549,16273,18691,87.1,49833
2024,FEBRUARY,106,184,15971,17313,92.2,62852
2024,JANUARY,121,368,16452,18404,89.4,66050
2024,JULY,177,605,16486,18772,87.8,53024
2024,JUNE,142,657,14666,17626,83.2,55317
2024,MARCH,100,210,17070,18346,93.0,60634
2024,MAY,102,381,16616,18564,89.5,58571
